method,resampled_before_split,resampled_inside_the_fold,inflation
Random over,0.6768725551433731,0.6737498977356228,0.0031226574077503066
SMOTE,0.6765413153325749,0.6682414442557192,0.008299871076855703
SMOTE-ENN,0.7753781423135415,0.6701599646284094,0.10521817768513209
