issue_year,loans,default_rate,roc_auc,mean_predicted
2010,5421,0.14609850581073602,0.69770343312145,0.1519828430063315
2011,9942,0.1056125528062764,0.6723208662682346,0.09958453155102845
2012,30277,0.13581266307758363,0.6485538869238245,0.1315988912248575
