feature,variable,missed_defaults,caught_defaults,difference,standardized_difference
"Credit inquiries, 6 months",inq_last_6mths,1.1995501285347043,6.59375,-5.394199871465296,-1.1769121190501879
Interest rate,int_rate,13.481962106615287,16.552500000000002,-3.0705378933847154,-0.9612302209511432
Annual income,annual_inc,61018.50134874759,42161.5,18857.001348747588,0.48088961306976113
Term (months),term_months,37.664739884393065,41.25,-3.5852601156069355,-0.43035772110509307
Debt-to-income (reported),dti,15.692267180475273,14.0228125,1.6694546804752726,0.20527878947632375
Loan amount,loan_amnt,10729.238921001926,9753.90625,975.3326710019264,0.14754249395452199
Credit utilization,revol_util,58.577802445302446,56.59548387096774,1.9823185743347054,0.07415174902207511
