rule,threshold_from_training,threshold_from_test,f1_transferred,f1_tuned_on_test,optimism,recall,precision,cost_per_loan
Default (0.5),0.5,0.5,0.01999375195251484,0.01999375195251484,0.0,0.010171646535282899,0.5818181818181818,807.2949847545555
Prevalence (base rate),0.13401252487630316,0.13402061855670103,0.30622157119728627,0.30622157119728627,0.0,0.631277813095995,0.20213740458015267,926.7323046782714
Maximum F1,0.16284925163723313,0.1680352647841045,0.31246273106738226,0.31351689612015016,0.001054165052767897,0.4996821360457724,0.22729901677270098,834.3526884799977
Youden J,0.1439108075203076,0.1321224361079156,0.3089088920669639,0.30658591975775923,-0.002322972309204696,0.5835982199618563,0.2100446173206727,890.8619131707347
Maximum G-mean,0.13726057223641755,0.1321224361079156,0.30610462808605227,0.30658591975775923,0.00048129167170696263,0.6128417037507946,0.20399957676436356,916.4716814349865
Minimum expected cost,0.22250194770271212,0.2548486088035204,0.2578834406471851,0.21496095355528153,-0.04292248709190358,0.24825174825174826,0.2682926829268293,782.0059275737885
