metric,observed,boot_mean,boot_sd,bias,percentile_lo,percentile_hi,percentile_width,bca_lo,bca_hi,bca_width,z0,acceleration,skew,n_boot
ROC-AUC,0.673369705676242,0.6734165327378607,0.004992230465798668,4.6827061618737176e-05,0.6632808545855596,0.6824961098099246,0.019215255224364958,0.6624303757310088,0.6819830893628953,0.019552713631886487,-0.06773071300425916,-0.0005156825282615497,-0.18076011342366255,1000
PR-AUC,0.24127011461630582,0.24214145260288916,0.006007934038524076,0.0008713379865833426,0.23103679861057794,0.25412691562847595,0.02309011701789801,0.23045629137185789,0.25343428259176726,0.02297799121990937,-0.11051620356204167,0.01122477491267466,0.10721241655480168,1000
Brier score,0.11064356812793821,0.11067714125879387,0.000379415033672279,3.357313085565472e-05,0.10994290148831232,0.11144738828779135,0.0015044867994790379,0.10991331042112931,0.11137803873640434,0.0014647283152750268,-0.06773071300425916,0.0020775726944572423,0.053651958253363795,1000
Recall at 0.5,0.010171646535282899,0.010237762237762236,0.001856686180300111,6.611570247933712e-05,0.006675143038779402,0.013986013986013986,0.007310870947234584,0.006675143038779402,0.013986013986013986,0.007310870947234584,-0.06270677794321385,0.030884471867354196,0.12396419174266546,1000
Precision at 0.5,0.5818181818181818,0.579649625056657,0.06721158701259472,-0.0021685567615248313,0.4515294771968854,0.7142857142857143,0.2627562370888289,0.45089568078547715,0.7138989287170275,0.2630032479315504,0.015040336678635672,-0.008666233785239208,-0.06576923204555928,1000
F1 at 0.5,0.01999375195251484,0.01982845572151598,0.0033725753215379708,-0.00016529623099885773,0.013178331184926062,0.02670890500911591,0.013530573824189849,0.013801614928662536,0.027380211574362167,0.013578596645699631,0.057684425107984175,0.030863610668567458,0.08448604968085599,1000
Balanced accuracy,0.5045201011110102,0.5045368457300275,0.0009019031255465999,1.674461901735036e-05,0.5028566603850695,0.5063670231283868,0.0035103627433172857,0.5029061847243665,0.5063913359367905,0.003485151212423987,-0.03008407662018911,0.02994438961866927,0.14061363707463115,1000
