question,choice,roc_auc,pr_auc,brier,seconds
Sparse accidental gaps,median,0.6779775360980184,0.25318342731910215,0.1147736528850838,0.1
Sparse accidental gaps,mean,0.6779603324241328,0.2532198431788526,0.11477106753732157,0.1
Sparse accidental gaps,iterative,0.6779070829573444,0.25308210630264244,0.114743334708789,3.3
Sparse accidental gaps,knn,0.677736684663621,0.2528411156700029,0.11476341477662746,0.4
Informative blanks,ceiling fill + flag,0.6779775360980184,0.25318342731910215,0.1147736528850838,0.1
Informative blanks,"median fill, no flag",0.6783273441336906,0.25260625422364075,0.11479079901300848,0.1
Informative blanks,columns dropped,0.6795811642709185,0.2526003088872628,0.11473566055273432,0.1
