approval_rate,threshold,approved,approved_default_rate,principal_lent,interest_earned,losses,net,return_on_principal
0.050012780097128735,0.03806294834371161,1174,0.026405451448040886,13861575.0,2244034.9515057327,243743.7763913663,2000291.1751143665,0.14430475433811574
0.06611570247933884,0.041754252162772273,1552,0.024484536082474227,18184725.0,2951848.142649964,293043.4285812252,2658804.7140687387,0.1462108838087317
0.08221862486154895,0.0449713910876047,1930,0.026424870466321245,22383725.0,3622987.638012967,395914.99472426035,3227072.643288707,0.14417049187696448
0.09832154724375905,0.04798582811308285,2308,0.03076256499133449,26561125.0,4278890.294857614,537897.4308913483,3740992.8639662657,0.14084466919101754
0.11442446962596915,0.05102075805358454,2686,0.03276247207743857,30318475.0,4878240.7591647,633981.1600880603,4244259.59907664,0.13998921776496476
0.13052739200817925,0.05395256016819584,3064,0.03492167101827676,34604950.0,5555133.23688026,766674.2376184618,4788458.999261797,0.1383749723453378
0.14663031439038937,0.05697176604477001,3442,0.03602556653108658,38644925.0,6204042.072041405,854930.1714133059,5349111.900628099,0.1384169305705238
0.16269063644883702,0.05995634049519506,3819,0.03796805446451951,42989400.0,6894725.831344325,973836.7726614235,5920889.058682902,0.13772904619936313
0.1787935588310471,0.06293572050898406,4197,0.0407433881343817,47022575.0,7534790.030601066,1088021.400381664,6446768.630219402,0.13709943851903902
0.19489648121325723,0.06562228031789502,4575,0.04371584699453552,51162275.0,8172330.772093866,1270576.2698076237,6901754.502286242,0.13489928863183356
0.21099940359546732,0.06854162497693284,4953,0.04583080961033717,55297425.0,8820717.368479362,1414090.5366727435,7406626.831806619,0.1339416226308299
0.22710232597767743,0.07141774985866628,5331,0.04858375539298443,59120375.0,9407158.090252385,1590475.9228286496,7816682.167423734,0.1322163833944513
0.24320524835988752,0.07435648994171365,5709,0.05132247328779121,63424400.0,10063775.16974212,1801236.151988089,8262539.017754031,0.13027382234209597
0.25930817074209767,0.07728283889389882,6087,0.05224248398225727,67219000.0,10657147.044545569,1938370.1331935178,8718776.911352051,0.1297070309191159
0.2754110931243077,0.07981123293908675,6465,0.05537509667440062,71018775.0,11223654.956729593,2168777.14506716,9054877.811662432,0.1274997746956693
0.29151401550651784,0.08251140726136973,6843,0.05801549028204004,75077275.0,11830107.868385516,2410258.3091430855,9419849.559242431,0.12546871951922112
0.30761693788872796,0.08530588558128466,7221,0.05954853898352029,79328700.0,12482580.460951695,2605391.054484075,9877189.40646762,0.1245096592591032
0.3237198602709381,0.08802354635054542,7599,0.06119226213975523,83507000.0,13115492.077937137,2825215.786397921,10290276.291539216,0.12322651144861169
0.33982278265314814,0.09078657270308203,7977,0.06318164723580294,87483375.0,13710564.362194099,3058812.9411014086,10651751.421092689,0.12175743586815997
0.35592570503535825,0.09387438570945016,8355,0.06558946738479952,91656150.0,14329922.838473879,3321121.381273506,11008801.457200373,0.1201097957660274
