feature_block,n_features,roc_auc,pr_auc,brier
LendingClub's own price and grade,11,0.636993523944125,0.20533168656036616,0.11291807821527867
Borrower attributes only,37,0.6642667531566856,0.2366823657933381,0.11108272509576993
Both,48,0.673369705676242,0.24127011461630582,0.11064356812793821
