model,roc_auc,pr_auc,brier,log_loss,ece,mean_predicted,threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy,g_mean,mcc
Random forest,0.6781883593491407,0.2398737930160739,0.11050376772932362,0.3698212771434817,0.00661281473234632,0.13477293347226763,0.5,0,0,20328,3146,0.865979381443299,0.0,0.0,1.0,0.0,0.5,0.0,0.0
Gradient boosting,0.6769049726882184,0.24044444720679237,0.11054376806404327,0.3703362054037964,0.006321115498646497,0.13367721774453403,0.5,19,19,20309,3127,0.865979381443299,0.5,0.006039415130324221,0.9990653286107831,0.01193467336683417,0.5025523718705537,0.07767734715986575,0.04325806486415759
Logistic regression,0.673369705676242,0.24127011461630582,0.11064356812793821,0.37109658146980823,0.007793440423883232,0.13376665062364515,0.5,32,23,20305,3114,0.8663627843571611,0.5818181818181818,0.010171646535282899,0.9988685556867375,0.01999375195251484,0.5045201011110102,0.10079750931275057,0.06369998242614341
Prior (predict the base rate),0.5,0.13402061855670103,0.11605909242388796,0.3939588885810904,0.013136985966962864,0.13401252487630314,0.5,0,0,20328,3146,0.865979381443299,0.0,0.0,1.0,0.0,0.5,0.0,0.0
