threshold,total_cost,cost_per_loan,approved,declined,tp,fp,tn,fn,precision,recall,f1
0.005853525433217181,38148231.334427014,1625.127005811835,0,23474,3146,20328,0,0,0.13402061855670103,1.0,0.23636363636363636
0.022324882208138455,37934736.76984193,1616.032068238985,118,23356,3145,20211,117,1,0.13465490666209967,0.9996821360457724,0.23734057806957964
0.025272420751541538,37737138.87867054,1607.6143341003044,236,23238,3142,20096,232,4,0.13520957053102678,0.9987285441830897,0.2381746513038205
0.027550835147067618,37531592.65079231,1598.857998244539,354,23120,3140,19980,348,6,0.13581314878892733,0.9980928162746344,0.2390923627503236
0.02993179211075663,37326046.42291407,1590.1016623887735,472,23002,3138,19864,464,8,0.13642291974610904,0.9974570883661793,0.24001835704451585
0.03166734193649066,37152293.54186322,1582.699733401347,590,22884,3132,19752,576,14,0.13686418458311483,0.9955499046408137,0.2406454091432962
0.033046386292612986,36946747.31398498,1573.9433975455815,708,22766,3130,19636,692,16,0.13748572432574893,0.9949141767323586,0.24158690953998146
0.034446209050733034,36758974.394277155,1565.9442103722056,825,22649,3126,19523,805,20,0.1380193386021458,0.9936427209154481,0.24237255282031403
0.03577260131469874,36577273.17651946,1558.2036796676946,943,22531,3121,19410,918,25,0.13852026097376946,0.9920534011443103,0.24309693500019472
0.037158057257534696,36387623.62205492,1550.1245472460987,1061,22413,3117,19296,1032,29,0.13907107482264758,0.9907819453273998,0.24390625611330646
0.03813198284869793,36182077.394176684,1541.3682113903333,1179,22295,3115,19180,1148,31,0.13971742543171115,0.9901462174189447,0.24488031130851776
0.03937106712668695,35968582.829591595,1532.273273817483,1297,22177,3114,19063,1265,32,0.1404157460431979,0.9898283534647171,0.2459424238834261
0.04033673993809813,35755088.26500651,1523.1783362446329,1415,22059,3113,18946,1382,33,0.1411215376943651,0.9895104895104895,0.2470144812537195
0.041615237088650746,35567315.345298685,1515.179149071257,1532,21942,3109,18833,1495,37,0.1416917327499772,0.9882390336935791,0.24784757653061223
0.04268003455581179,35393562.46424783,1507.7772200838301,1650,21824,3103,18721,1607,43,0.14218291788856305,0.9863318499682137,0.24853824589507414
0.043728468135168806,35172119.5629559,1498.3436807938954,1768,21706,3103,18603,1725,43,0.1429558647378605,0.9863318499682137,0.24971833252856912
0.04461510196340097,34982470.00849136,1490.2645483722995,1886,21588,3099,18489,1839,47,0.14355197331851027,0.9850603941513032,0.2505862375677206
0.045530888021689996,34800768.790733665,1482.5240176677885,2004,21470,3094,18376,1952,52,0.14410805775500699,0.9834710743801653,0.2513812154696133
0.04659924331448081,34650860.91980336,1476.137893831616,2122,21352,3085,18267,2061,61,0.14448295241663545,0.9806102987921169,0.25185729447301825
0.047497811317490285,34463088.00009553,1468.1387066582402,2239,21235,3081,18154,2174,65,0.14509065222510006,0.9793388429752066,0.2527377876215085
0.048400633036559074,34297283.45575153,1461.0753793878985,2357,21117,3074,18043,2285,72,0.14556991996969265,0.9771137952956135,0.25338993529242054
0.049290464609514965,34131478.91140753,1454.0120521175568,2475,20999,3067,17932,2396,79,0.14605457402733463,0.9748887476160203,0.2540484572375233
0.05014711564129786,33941829.356943,1445.9329196959613,2593,20881,3063,17818,2510,83,0.146688376993439,0.9736172917991099,0.25496316643775746
0.05118522836861852,33768076.47589214,1438.5309907085345,2711,20763,3057,17706,2622,89,0.14723305880653084,0.9717101080737445,0.25571960349659123
0.052085404992607845,33586375.258134454,1430.7904600040238,2829,20645,3052,17593,2735,94,0.1478324049406636,0.9701207883026065,0.25656760960026903
0.052990868308167814,33430395.685254008,1424.1456796989864,2946,20528,3044,17484,2844,102,0.14828526890101326,0.9675778766687858,0.25715975331587393
