rule,threshold,note,approved,declined,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,accuracy,cost_per_loan,total_cost
Default (0.5),0.5,the cut-off nobody chose,23419,55,32,23,20305,3114,0.5818181818181818,0.010171646535282899,0.9988685556867375,0.01999375195251484,0.5045201011110102,0.8663627843571611,807.2949847545555,18950442.472128436
Prevalence (base rate),0.13402061855670103,decline above the cohort's own default rate,13649,9825,1986,7839,12489,1160,0.20213740458015267,0.631277813095995,0.6143742621015348,0.30622157119728627,0.6228260375987649,0.6166396864616172,926.7323046782714,21754114.12001774
Maximum F1,0.1680352647841045,balances precision and recall,17032,6442,1503,4939,15389,1643,0.2333126358273828,0.47774952320406866,0.7570346320346321,0.31351689612015016,0.6173920776193503,0.7196046689954844,819.8221593026664,19244505.36747079
Youden J,0.1321224361079156,maximizes sensitivity plus specificity,13410,10064,2025,8039,12289,1121,0.2012122416534181,0.643674507310871,0.6045356158992523,0.30658591975775923,0.6241050616050616,0.609781034335861,932.6337520364951,21892644.695304688
Maximum G-mean,0.1321224361079156,geometric mean of the two rates,13410,10064,2025,8039,12289,1121,0.2012122416534181,0.643674507310871,0.6045356158992523,0.30658591975775923,0.6241050616050616,0.609781034335861,932.6337520364951,21892644.695304688
Minimum expected cost,0.2548486088035204,"minimizes dollars lost, given what each error costs",21754,1720,523,1197,19131,2623,0.3040697674418605,0.16624284806102987,0.9411157024793388,0.21496095355528153,0.5536792752701843,0.8372667632274006,774.1503799518879,18172406.018990617
