model,replicates,mean_oob_share,apparent_error,oob_error,error_632,error_632_plus,no_information_error,relative_overfitting,oob_roc_auc,oob_brier,loans_scored,misaligned_replicates
Logistic regression,200,0.3679788574245495,0.134046210585894,0.13435655139013003,0.13424234597417117,0.1342532343469294,0.13621763098703366,0.14292064497190443,0.6784561390971092,0.11045525654814198,54771.0,0.0
Gradient boosting,200,0.3679788574245495,0.10545471143488343,0.13570066422552549,0.12457015359856921,0.13570066422552549,0.135562781293544,1.0,0.6849463097893472,0.11002980513529768,54771.0,0.0
Random forest (bagging OOB),300,,,0.1340125248763031,,,,,0.6786989986946189,0.11043456874132686,,
